TransactionType,PostingDate,TransactionNumber,TransactionLine,FiscalYear,Period,FromCode,ToCode,PODocType,CompanyCode,OPCODesc,CostCentre,CCDesc,PLImpact,PLDesc,BalanceSheetCode,BalanceSheetDesc,U,TransactionQty,TransactionValue,Plant,Store,Part,PartDesc,MtlGroup,MtlGroupDesc,FleetNumber,PO,POLine,BIN,Originator,WorkOrder,POLineType
I,01/01/2026,7601146,10,FY 2026,11,STOR,EVNT,,1073,First South Yorkshire Ltd,2432,Olive Grove ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,21.000000,2430,2431,275603,Filter Air Dryer Wabco Silver QCIM (EA),2903,Filters & Elements - Air,63045,,,05DA01,SAM.CAMERON,8006809,
I,01/01/2026,7601243,10,FY 2026,11,STOR,EVNT,,1074,First Glasgow (No.2) Limited,3622,Blantyre ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,21.000000,3620,3621,275603,Filter Air Dryer Wabco Silver QCIM (EA),2903,Filters & Elements - Air,53311,,,20DC09,ELIJAH.CHATTOO,8006906,
I,03/01/2026,7601147,10,FY 2026,11,STOR,EVNT,,1073,First South Yorkshire Ltd,2432,Olive Grove ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,21.000000,2430,2431,275603,Filter Air Dryer Wabco Silver QCIM (EA),2903,Filters & Elements - Air,63012,,,16FB05,DAVE.FENWICK,8006810,
I,05/01/2026,7601287,10,FY 2026,11,STOR,EVNT,,1074,First Glasgow (No.2) Limited,3622,Blantyre ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,185.000000,3620,3621,290200,Tyre 275/70R22.5 (EA),3502,Chassis - Tyres,53311,,,05GB08,DAVE.FENWICK,8006950,
I,06/01/2026,7601223,10,FY 2026,11,STOR,EVNT,,1074,First Glasgow (No.2) Limited,3622,Blantyre ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,302.390000,3620,3621,274016-G,Battery 12v 170Ah Type 629 QCF (EA),1402,Electrical System - Batteries,53201,,,08EH02,DAVE.FENWICK,8006886,
I,07/01/2026,7601124,10,FY 2026,11,STOR,EVNT,,1073,First South Yorkshire Ltd,2432,Olive Grove ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,302.390000,2430,2431,274016-G,Battery 12v 170Ah Type 629 QCF (EA),1402,Electrical System - Batteries,63045,,,27AD04,DAVE.FENWICK,8006787,
I,07/01/2026,7601148,10,FY 2026,11,STOR,EVNT,,1073,First South Yorkshire Ltd,2432,Olive Grove ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,21.000000,2430,2431,275603,Filter Air Dryer Wabco Silver QCIM (EA),2903,Filters & Elements - Air,63045,,,31HD07,SAM.CAMERON,8006811,
I,08/01/2026,7601186,10,FY 2026,11,STOR,EVNT,,1073,First South Yorkshire Ltd,2432,Olive Grove ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,15.500000,2430,2431,280100,Wiper Blade Front 24in (EA),1801,Body - Wipers,63077,,,27BH04,DAVE.FENWICK,8006849,
I,09/01/2026,7601201,10,FY 2026,11,STOR,EVNT,,1073,First South Yorkshire Ltd,2432,Olive Grove ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,185.000000,2430,2431,290200,Tyre 275/70R22.5 (EA),3502,Chassis - Tyres,63077,,,31EB01,ELIJAH.CHATTOO,8006864,
I,09/01/2026,7601221,10,FY 2026,11,STOR,EVNT,,1074,First Glasgow (No.2) Limited,3622,Blantyre ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,302.390000,3620,3621,274016-G,Battery 12v 170Ah Type 629 QCF (EA),1402,Electrical System - Batteries,53201,,,09AE08,ELIJAH.CHATTOO,8006884,
I,09/01/2026,7601242,10,FY 2026,11,STOR,EVNT,,1074,First Glasgow (No.2) Limited,3622,Blantyre ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,21.000000,3620,3621,275603,Filter Air Dryer Wabco Silver QCIM (EA),2903,Filters & Elements - Air,53311,,,29CE08,ELIJAH.CHATTOO,8006905,
I,12/01/2026,7601202,10,FY 2026,11,STOR,EVNT,,1073,First South Yorkshire Ltd,2432,Olive Grove ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,185.000000,2430,2431,290200,Tyre 275/70R22.5 (EA),3502,Chassis - Tyres,63045,,,02BA04,SAM.CAMERON,8006865,
I,13/01/2026,7601200,10,FY 2026,11,STOR,EVNT,,1073,First South Yorkshire Ltd,2432,Olive Grove ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,185.000000,2430,2431,290200,Tyre 275/70R22.5 (EA),3502,Chassis - Tyres,63058,,,21DH06,DAVE.FENWICK,8006863,
I,15/01/2026,7601145,10,FY 2026,11,STOR,EVNT,,1073,First South Yorkshire Ltd,2432,Olive Grove ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,21.000000,2430,2431,275603,Filter Air Dryer Wabco Silver QCIM (EA),2903,Filters & Elements - Air,63077,,,15BD02,JOAN.MBEKI,8006808,
I,16/01/2026,7601224,10,FY 2026,11,STOR,EVNT,,1074,First Glasgow (No.2) Limited,3622,Blantyre ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,302.390000,3620,3621,274016-G,Battery 12v 170Ah Type 629 QCF (EA),1402,Electrical System - Batteries,53201,,,10AC05,ELIJAH.CHATTOO,8006887,
I,18/01/2026,7601244,10,FY 2026,11,STOR,EVNT,,1074,First Glasgow (No.2) Limited,3622,Blantyre ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,21.000000,3620,3621,275603,Filter Air Dryer Wabco Silver QCIM (EA),2903,Filters & Elements - Air,53258,,,08BD08,ELIJAH.CHATTOO,8006907,
